Farmacia,Titular,Dirección,Municipio,Provincia,Comunidad,Teléfono
Farmacia Bernaldo Bech Roser,Bernaldo Bech Roser,"Cl Campoamor                40, 08204",Sabadell,Barcelona,CATALUÑA,937104342 
Farmacia Bernat Barriga Montserrat,Bernat Barriga Montserrat,"Cl Conquista                53, 08912",Badalona,Barcelona,CATALUÑA,933835807 
Farmacia Bernet Vidal Carolina,Bernet Vidal Carolina,"Cl Jacint Verdaguer 1, 08510",Roda de Ter,Barcelona,CATALUÑA,938540553 
Farmacia Berrens Castello Merce,Berrens Castello Merce,"Cl Amigo                    70, 08021",Barcelona,Barcelona,CATALUÑA,932092734 
Farmacia Bertolin Espallargas Concepcio,Bertolin Espallargas Concepcio,"Cl Sants 32, 08014",Barcelona,Barcelona,CATALUÑA,934315313 
Farmacia Bertran Ambros Rosa,Bertran Ambros Rosa,"C/sant Jordi                11, 08692",Puig-reig,Barcelona,CATALUÑA,938290385 
Farmacia Bertran Fita Isabel,Bertran Fita Isabel,"Cl Padre Fita               75, 08350",Arenys de Mar,Barcelona,CATALUÑA,937921446 
Farmacia Bertran S.c.p.   Farmacia,Bertran S.c.p.   Farmacia,"Cl Dr. Trueta, 147, 08005",Barcelona,Barcelona,CATALUÑA,932251477 
Farmacia Bertran Serracanta Roser,Bertran Serracanta Roser,"Cl Rizal 1, 08291",Ripollet,Barcelona,CATALUÑA,935863004 
Farmacia Bertroli Matas Magdalena,Bertroli Matas Magdalena,"Cl Miguel Hernadez          17, 08042",Barcelona,Barcelona,CATALUÑA,934272292 
Farmacia Beumala Llunell M Angels,Beumala Llunell M Angels,"Pz Bisbe Catala 8, 08034",Barcelona,Barcelona,CATALUÑA,932033065 
Farmacia Blade Vinaixa Pilar,Blade Vinaixa Pilar,"Avda Generalitat            76, 08922",Santa Coloma de Gramenet,Barcelona,CATALUÑA,933864749 
Farmacia Blanca Suades C.b.,Blanca Suades C.b.,"Av Tibidabo                 68, 08210",Barberà del Vallès,Barcelona,CATALUÑA,937190101 
Farmacia Blanco Hernandez Marta,Blanco Hernandez Marta,"Cl Beltran 39, 08023",Barcelona,Barcelona,CATALUÑA,934172596 
Farmacia Blasco Gil De Bernabe Manuel,Blasco Gil De Bernabe Manuel,"Cl Figueras 1, 08917",Badalona,Barcelona,CATALUÑA,933870499 
Farmacia Blasco Nicolau Paola,Blasco Nicolau Paola,"Cl Ros I Guell 6, 08916",Badalona,Barcelona,CATALUÑA,933954555 
Farmacia Blasi Gutierrez M Teresa,Blasi Gutierrez M Teresa,"Cl Valencia                 15, 08430","Roca del Vallès, La",Barcelona,CATALUÑA,938707262 
Farmacia Blay Salvador BegoÑa,Blay Salvador BegoÑa,"Cl Ausias March 163, 08013",Barcelona,Barcelona,CATALUÑA,932450064 
Farmacia Boada I Soler S.c.p.,Boada I Soler S.c.p.,"Pz Bonanova                  6, 08022",Barcelona,Barcelona,CATALUÑA,934178032 
Farmacia Boixareu Carrera M Angels,Boixareu Carrera M Angels,"Cl Rocafort                 28, 08271",Artés,Barcelona,CATALUÑA,938305265 
Farmacia Bolos Causadias Esperanza,Bolos Causadias Esperanza,"Av Catalunya 89, 08930",Sant Adrià de Besòs,Barcelona,CATALUÑA,933811804 
Farmacia Boncompte Alseda Juan,Boncompte Alseda Juan,"Cl Mina La Ciudad 20, 08042",Barcelona,Barcelona,CATALUÑA,933509237 
Farmacia Boncompte Gine Jordi,Boncompte Gine Jordi,"Cl Gacela 8, 08042",Barcelona,Barcelona,CATALUÑA,933545416 
Farmacia Boncompte Gine Juan Josep,Boncompte Gine Juan Josep,"Cl Guinaueta 19, 08042",Barcelona,Barcelona,CATALUÑA,934274120 
Farmacia Boncompte Vilanova Maria,Boncompte Vilanova Maria,"Cl San Antonio              22, 08970",Sant Joan Despí,Barcelona,CATALUÑA,933730856 
Farmacia Bondia Martinez Fernando,Bondia Martinez Fernando,"Cl Salvador Espriu 4, 08960",Sant Just Desvern,Barcelona,CATALUÑA,933721502 
Farmacia Bonet Ortiz M Teresa,Bonet Ortiz M Teresa,"Cl La Lanera                91, 08207",Sabadell,Barcelona,CATALUÑA,937167133 
Farmacia Bonet Vila Josep Maria,Bonet Vila Josep Maria,"Passeig Cristofol Colom 39 41, 08402",Granollers,Barcelona,CATALUÑA,938709652 
Farmacia Bonsfills Pont Joan,Bonsfills Pont Joan,"Cl Balmes 41-43, 08242",Manresa,Barcelona,CATALUÑA,938730133 
Farmacia Boquer Torrens Marcelo,Boquer Torrens Marcelo,"Pg Sant Gervasi             53, 08022",Barcelona,Barcelona,CATALUÑA,934170240 
Farmacia Boquet Figueras Meritxell,Boquet Figueras Meritxell,"Cl La Lluna 6, 08291",Ripollet,Barcelona,CATALUÑA,936922590 
